Date,<49.9,49.9-50.05,>50.05,% of time frequency outside IEGC band,No. of hrs frequency outside IEGC Band,max,min,average
01-Oct-23,2.59,74.6,22.81,25.4,6.1,50.21,49.75,50.01
02-Oct-23,4.77,82.93,12.3,17.07,4.1,50.17,49.79,49.99
03-Oct-23,12.13,66.92,20.95,33.08,7.94,50.2,49.64,49.99
04-Oct-23,21.1,68.47,10.43,31.53,7.94,50.15,49.56,49.96
05-Oct-23,9.56,75.67,14.77,24.33,5.84,50.17,49.69,49.99
06-Oct-23,9.62,73.62,16.76,26.38,6.33,50.25,49.66,49.99
07-Oct-23,21.1,69.95,8.95,30.05,7.2,50.2,49.56,49.96
08-Oct-23,7.97,71.27,20.76,28.73,6.9,50.21,49.66,50
09-Oct-23,19.1,67.83,13.07,32.17,7.72,50.24,49.57,49.97
10-Oct-23,18.51,63.49,18,36.51,8.76,50.17,49.57,49.97
11-Oct-23,18.47,70.06,11.47,29.94,7.19,50.14,49.62,49.97
12-Oct-23,9.61,72,18.39,28,6.72,50.21,49.74,50
13-Oct-23,5.13,75.18,19.69,24.82,5.96,50.2,49.77,50.01
14-Oct-23,10.91,69.69,19.4,30.31,7.28,50.22,49.71,50
15-Oct-23,6.13,78,15.87,22,5.28,50.21,49.71,50
16-Oct-23,9.9,67.87,22.23,32.13,7.71,50.2,49.55,49.99
17-Oct-23,9.93,69.83,20.24,30.17,7.23,50.22,49.65,49.99
18-Oct-23,7.96,77.09,14.94,22.91,5.5,50.21,49.72,49.99
19-Oct-23,10.42,73.28,16.3,26.72,6.41,50.27,49.72,49.99
20-Oct-23,3.17,80.44,16.39,19.56,4.68,50.2,49.76,50
21-Oct-23,3.69,81.51,14.8,18.49,4.26,50.2,49.77,50
22-Oct-23,5.69,74.92,19.39,25.08,6.01,50.22,49.79,50
23-Oct-23,2.42,76.02,21.56,23.98,5.45,50.26,49.84,50.01
24-Oct-23,1.57,81.01,17.42,18.99,4.33,50.19,49.84,50.01
25-Oct-23,4.16,79.57,16.27,20.43,4.9,50.17,49.78,50
26-Oct-23,5.35,78.29,16.36,21.71,5.21,50.19,49.75,49.99
27-Oct-23,3.6,76.32,20.08,23.68,5.68,50.3,49.8,50
28-Oct-23,12.06,74.64,13.3,25.36,6.09,50.18,49.69,49.98
29-Oct-23,4.18,79.95,15.87,20.05,4.48,50.24,49.83,50
30-Oct-23,4.8,74.29,20.91,25.71,6.17,50.2,49.77,50
31-Oct-23,5.74,79.61,14.65,20.39,4.53,50.18,49.75,49.99
Average,8.75,74.33,16.91,25.67,189.89,50.3,49.55,49.99
